"Kod stacji","Nazwa stacji","Rok","Miesiąc","Dzień","Maksymalna temperatura dobowa","Status pomiaru TMAX","Minimalna temperatura dobowa","Status pomiaru TMIN","Średnia temperatura dobowa","Status pomiaru STD", "Temperatura minimalna przy gruncie","Status pomiaru TMNG","Suma dobowa opadu","Status pomiaru SMDB","Rodzaj opadu","Wysokość pokrywy śnieżnej","Status pomiaru PKSN","Równoważnik wodny śniegu","Status pomiaru RWSN","Usłonecznienie","Status pomiaru USL","Czas trwania opadu deszczu","Status pomiaru DESZ","Czas trwania opadu śniegu","Status pomiaru SNEG","Czas trwania opadu deszczu ze śniegiem","Status pomiaru DISN","Czas trwania gradu","Status pomiaru GRAD","Czas trwania mgły","Status pomiaru MGLA","Czas trwania zamglenia","Status pomiaru ZMGL","Czas trwania sadzi","Status pomiaru SADZ","Czas trwania gołoledzi","Status pomiaru GOLO","Czas trwania zamieci śnieżnej niskiej","Status pomiaru ZMNI","Czas trwania zamieci śnieżnej wysokiej","Status pomiaru ZMWS","Czas trwania zmętnienia","Status pomiaru ZMET","Czas trwania wiatru >=10m/s","Status pomiaru FF10","Czas trwania wiatru >15m/s","Status pomiaru FF15","Czas trwania burzy","Status pomiaru BRZA","Czas trwania rosy","Status pomiaru ROSA","Czas trwania szronu","Status pomiaru SZRO","Wystąpienie pokrywy śnieżnej","Status pomiaru DZPS","Wystąpienie błyskawicy","Status pomiaru DZBL","Stan gruntu","Izoterma dolna","Status pomiaru IZD","Izoterma górna","Status pomiaru IZG","Aktynometria","Status pomiaru AKTN"
"351220495","LUBLIN-RADAWIEC","2018","01","01",6.4,"",2.2,"",4.4,"",.1,"",1.3,"","W",0,"9",.0,"9",2.3,"",4.0,"",.0,"9",.0,"9",.0,"9",.7,"",5.5,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","02",4.8,"",.2,"",1.7,"",.7,"",.0,"9","",0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",19.4,"",4.6,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","03",4.0,"",.7,"",2.2,"",.9,"",4.6,"","S",0,"9",.0,"9",1.5,"",2.9,"",.6,"",2.4,"",.0,"9",.0,"9",10.2,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","04",5.5,"",.5,"",3.4,"",.4,"",.1,"","W",0,"9",.0,"9",.0,"9",.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","05",7.2,"",.7,"",3.3,"",-.4,"",1.2,"","W",0,"9",.0,"9",1.5,"",5.9,"",.0,"9",.0,"9",.0,"9",.0,"9",4.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","06",8.6,"",3.2,"",5.7,"",.9,"",.2,"","W",0,"9",.0,"9",.9,"",1.9,"",.0,"9",.0,"9",.0,"9",.0,"9",13.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","07",5.5,"",-.4,"",2.5,"",-.4,"",2.2,"","S",0,"9",.0,"9",.0,"9",7.1,"",2.0,"",.1,"",.0,"9",.0,"9",13.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","R",0,"9",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","08",-.3,"",-6.3,"",-4.0,"",-7.9,"",.0,"9","",0,"9",.0,"9",1.2,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",8.5,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",24.0,"",0,"",0,"","Z",1,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","09",1.1,"",-7.0,"",-2.4,"",-8.5,"",.0,"9","",0,"9",.0,"9",5.7,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",9.2,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",11.0,"",0,"",0,"","Z",10,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","10",.9,"",-1.5,"",-.6,"",-1.8,"",.0,"","W",0,"9",.0,"9",.7,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",2.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","Z",10,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","11",.5,"",-1.3,"",-.3,"",-1.6,"",.3,"","S",0,"9",.0,"9",.0,"9",10.7,"",3.7,"",.0,"9",.0,"9",.0,"9",22.7,"",.0,"9",6.8,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","Z",10,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","12",-.5,"",-3.0,"",-2.2,"",-2.8,"",.0,"9","",0,"",.0,"9",.0,"9",.0,"9",1.3,"",.0,"9",.0,"9",.0,"9",9.8,"",.0,"9",1.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","Z",10,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","13",-2.0,"",-4.8,"",-3.2,"",-5.0,"",.0,"","S",0,"",.0,"9",.3,"",.0,"9",3.0,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","",13,"",0,"9",0,"8"
"351220495","LUBLIN-RADAWIEC","2018","01","14",-4.6,"",-7.2,"",-6.4,"",-6.9,"",.0,"","S",0,"",.0,"9",.0,"9",.0,"9",15.4,"",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",.0,"9",0,"",0,"","",16,"",0,"9",0,"8"
